AoA,CL,CD,camber,camber_loc,thickness,Re
-2.0,0.0913,1e-05,3,2,06,250000
4.0,0.6333,0.0,3,2,06,250000
6.0,0.8121,1e-05,3,2,06,250000
8.0,0.8005,0.00263,3,2,06,250000
10.0,0.7513,0.01251,3,2,06,250000
12.0,0.6799,0.03395,3,2,06,250000
14.0,0.9407,0.17155,3,2,06,250000
16.0,0.9678,0.20749,3,2,06,250000
-2.0,0.0936,0.01241,3,2,06,1000000
0.0,0.3056,0.00742,3,2,06,1000000
2.0,0.5183,0.00645,3,2,06,1000000
4.0,0.7373,0.00743,3,2,06,1000000
6.0,0.9443,0.01035,3,2,06,1000000
8.0,1.1309,0.01689,3,2,06,1000000
16.0,0.575,0.12125,3,2,06,1000000
-2.0,-0.1118,0.03711,4,2,06,50000
0.0,0.1963,0.02795,4,2,06,50000
2.0,0.6179,0.01874,4,2,06,50000
4.0,0.8259,0.02455,4,2,06,50000
6.0,1.0186,0.03515,4,2,06,50000
8.0,1.0943,0.06341,4,2,06,50000
10.0,1.0319,0.10253,4,2,06,50000
12.0,1.1676,0.08971,4,2,06,50000
14.0,1.0097,0.16652,4,2,06,50000
16.0,1.0224,0.23144,4,2,06,50000
-2.0,-0.0126,0.04125,4,2,06,100000
0.0,0.3821,0.01947,4,2,06,100000
2.0,0.609,0.01317,4,2,06,100000
4.0,0.8177,0.01756,4,2,06,100000
6.0,1.0284,0.02315,4,2,06,100000
8.0,1.182,0.02632,4,2,06,100000
10.0,1.2703,0.04751,4,2,06,100000
12.0,1.194,0.0811,4,2,06,100000
14.0,1.0419,0.14732,4,2,06,100000
16.0,1.0119,0.21522,4,2,06,100000
-2.0,0.1741,0.02888,4,2,06,250000
0.0,0.411,0.01233,4,2,06,250000
2.0,0.6051,0.01019,4,2,06,250000
4.0,0.8172,0.01248,4,2,06,250000
6.0,1.0293,0.01538,4,2,06,250000
8.0,1.1955,0.02188,4,2,06,250000
10.0,0.7715,0.01214,4,2,06,250000
12.0,0.7345,0.02982,4,2,06,250000
14.0,0.707,0.05739,4,2,06,250000
16.0,1.0215,0.20562,4,2,06,250000
-2.0,-0.1205,0.01446,1,3,06,50000
0.0,0.0549,0.0144,1,3,06,50000
2.0,0.2304,0.01599,1,3,06,50000
4.0,0.57,0.018,1,3,06,50000
6.0,0.7313,0.03778,1,3,06,50000
10.0,0.7612,0.13142,1,3,06,50000
12.0,0.7921,0.16556,1,3,06,50000
14.0,0.818,0.19629,1,3,06,50000
16.0,0.8515,0.22217,1,3,06,50000
-2.0,-0.1191,0.01034,1,3,06,100000
0.0,0.0565,0.01038,1,3,06,100000
2.0,0.2589,0.01212,1,3,06,100000
4.0,0.5517,0.0129,1,3,06,100000
6.0,0.7299,0.03215,1,3,06,100000
10.0,0.7939,0.1212,1,3,06,100000
12.0,0.7996,0.15938,1,3,06,100000
14.0,0.8075,0.18718,1,3,06,100000
16.0,0.86,0.22524,1,3,06,100000
-2.0,-0.1545,0.00768,1,3,06,250000
0.0,0.0591,0.00687,1,3,06,250000
2.0,0.3583,0.00686,1,3,06,250000
4.0,0.5381,0.01155,1,3,06,250000
6.0,0.7308,0.02384,1,3,06,250000
-2.0,-0.1141,0.00632,1,3,06,1000000
0.0,0.1177,0.0034,1,3,06,1000000
2.0,0.3368,0.00497,1,3,06,1000000
4.0,0.5428,0.00832,1,3,06,1000000
6.0,0.7422,0.01563,1,3,06,1000000
-2.0,-0.0818,0.02006,2,3,06,50000
0.0,0.1152,0.01516,2,3,06,50000
2.0,0.2865,0.01837,2,3,06,50000
4.0,0.6755,0.02224,2,3,06,50000
6.0,0.8106,0.03005,2,3,06,50000
8.0,0.7356,0.02291,2,3,06,50000
12.0,0.8422,0.16408,2,3,06,50000
14.0,0.8965,0.20257,2,3,06,50000
16.0,0.907,0.2241,2,3,06,50000
-2.0,-0.0779,0.01593,2,3,06,100000
0.0,0.1231,0.01121,2,3,06,100000
2.0,0.4388,0.0127,2,3,06,100000
4.0,0.6634,0.01339,2,3,06,100000
6.0,0.8179,0.02577,2,3,06,100000
10.0,0.8733,0.11372,2,3,06,100000
12.0,0.8563,0.15342,2,3,06,100000
14.0,0.8778,0.18998,2,3,06,100000
16.0,0.9137,0.22439,2,3,06,100000
-2.0,-0.0744,0.01129,2,3,06,250000
0.0,0.2105,0.00722,2,3,06,250000
2.0,0.4528,0.00713,2,3,06,250000
4.0,0.6493,0.00956,2,3,06,250000
6.0,0.8268,0.0195,2,3,06,250000
-2.0,0.0116,0.00651,2,3,06,1000000
0.0,0.2276,0.00365,2,3,06,1000000
2.0,0.4393,0.00492,2,3,06,1000000
4.0,0.6482,0.00759,2,3,06,1000000
6.0,0.8436,0.0142,2,3,06,1000000
8.0,1.009,0.03049,2,3,06,1000000
10.0,1.1208,0.04356,2,3,06,1000000
-2.0,-0.0353,0.02699,3,3,06,50000
0.0,0.1779,0.01665,3,3,06,50000
2.0,0.4298,0.02214,3,3,06,50000
4.0,0.7661,0.02424,3,3,06,50000
6.0,0.9254,0.02278,3,3,06,50000
8.0,1.0744,0.04971,3,3,06,50000
10.0,1.0525,0.0893,3,3,06,50000
12.0,0.4978,0.08748,3,3,06,50000
14.0,0.5428,0.11571,3,3,06,50000
16.0,0.578,0.14172,3,3,06,50000
-2.0,-0.0284,0.02179,3,3,06,100000
0.0,0.1986,0.01284,3,3,06,100000
2.0,0.5538,0.01272,3,3,06,100000
4.0,0.7613,0.01449,3,3,06,100000
6.0,0.9151,0.02169,3,3,06,100000
8.0,1.0783,0.0449,3,3,06,100000
10.0,0.7269,0.02936,3,3,06,100000
12.0,0.5841,0.06315,3,3,06,100000
14.0,0.5589,0.11035,3,3,06,100000
16.0,0.5797,0.13597,3,3,06,100000
-2.0,0.0476,0.01515,3,3,06,250000
0.0,0.3373,0.00718,3,3,06,250000
2.0,0.5477,0.00762,3,3,06,250000
4.0,0.7527,0.00992,3,3,06,250000
6.0,0.9287,0.01721,3,3,06,250000
8.0,0.906,0.00887,3,3,06,250000
-2.0,0.1139,0.00699,3,3,06,1000000
0.0,0.3272,0.00533,3,3,06,1000000
2.0,0.5409,0.0054,3,3,06,1000000
4.0,0.7567,0.00685,3,3,06,1000000
6.0,0.9479,0.01305,3,3,06,1000000
8.0,1.1313,0.01959,3,3,06,1000000
10.0,0.8049,0.00716,3,3,06,1000000
0.0,0.2253,0.02375,4,3,06,50000
2.0,0.5934,0.02398,4,3,06,50000
4.0,0.8471,0.02675,4,3,06,50000
6.0,1.039,0.0348,4,3,06,50000
8.0,1.1408,0.04046,4,3,06,50000
10.0,1.2177,0.07424,4,3,06,50000
12.0,0.64,0.06581,4,3,06,50000
14.0,0.5744,0.11388,4,3,06,50000
16.0,0.623,0.1448,4,3,06,50000
-2.0,-0.0305,0.03489,4,3,06,100000
0.0,0.3731,0.014,4,3,06,100000
2.0,0.6499,0.01289,4,3,06,100000
4.0,0.8568,0.01561,4,3,06,100000
6.0,1.0478,0.01795,4,3,06,100000
8.0,1.1673,0.0367,4,3,06,100000
10.0,0.8675,0.02263,4,3,06,100000
12.0,0.7123,0.04877,4,3,06,100000
14.0,0.597,0.10696,4,3,06,100000
16.0,0.6321,0.13739,4,3,06,100000
-2.0,0.1957,0.01653,4,3,06,250000
0.0,0.4374,0.00723,4,3,06,250000
2.0,0.6431,0.00834,4,3,06,250000
4.0,0.8511,0.01068,4,3,06,250000
6.0,1.03,0.01626,4,3,06,250000
8.0,0.7739,0.00476,4,3,06,250000
10.0,0.816,0.016,4,3,06,250000
12.0,0.7265,0.03972,4,3,06,250000
14.0,0.6222,0.08559,4,3,06,250000
16.0,0.6283,0.13094,4,3,06,250000
-2.0,0.2148,0.00769,4,3,06,1000000
0.0,0.4312,0.00671,4,3,06,1000000
2.0,0.643,0.00596,4,3,06,1000000
4.0,0.8609,0.00706,4,3,06,1000000
-2.0,-0.1238,0.01443,1,4,06,50000
0.0,0.0533,0.01445,1,4,06,50000
2.0,0.2308,0.0161,1,4,06,50000
4.0,0.5618,0.01732,1,4,06,50000
6.0,0.7347,0.04112,1,4,06,50000
8.0,0.7413,0.10018,1,4,06,50000
10.0,0.7783,0.13457,1,4,06,50000
12.0,0.7776,0.16288,1,4,06,50000
14.0,0.809,0.19319,1,4,06,50000
16.0,0.8551,0.2228,1,4,06,50000
-2.0,-0.1229,0.01032,1,4,06,100000
0.0,0.0561,0.01045,1,4,06,100000
2.0,0.2381,0.01231,1,4,06,100000
4.0,0.5391,0.01595,1,4,06,100000
6.0,0.7315,0.03472,1,4,06,100000
8.0,0.804,0.08143,1,4,06,100000
10.0,0.7714,0.12166,1,4,06,100000
12.0,0.7921,0.15895,1,4,06,100000
14.0,0.8132,0.18822,1,4,06,100000
16.0,0.8571,0.22287,1,4,06,100000
-2.0,-0.1529,0.0073,1,4,06,250000
0.0,0.0602,0.00696,1,4,06,250000
2.0,0.3654,0.00691,1,4,06,250000
4.0,0.5406,0.01261,1,4,06,250000
6.0,0.7338,0.02732,1,4,06,250000
8.0,0.7971,0.0724,1,4,06,250000
10.0,0.7644,0.11629,1,4,06,250000
12.0,0.7811,0.15323,1,4,06,250000
14.0,0.8131,0.18548,1,4,06,250000
-2.0,-0.1078,0.00606,1,4,06,1000000
0.0,0.129,0.00337,1,4,06,1000000
2.0,0.343,0.00497,1,4,06,1000000
4.0,0.5477,0.00901,1,4,06,1000000
6.0,0.7455,0.01745,1,4,06,1000000
8.0,0.8675,0.04931,1,4,06,1000000
10.0,0.8145,0.10367,1,4,06,1000000
12.0,0.8089,0.1422,1,4,06,1000000
-2.0,-0.0741,0.01467,2,4,06,50000
0.0,0.1152,0.0154,2,4,06,50000
2.0,0.2908,0.01847,2,4,06,50000
4.0,0.6272,0.02482,2,4,06,50000
6.0,0.8262,0.03525,2,4,06,50000
10.0,0.8659,0.13709,2,4,06,50000
12.0,0.8515,0.16547,2,4,06,50000
14.0,0.8685,0.19474,2,4,06,50000
16.0,0.9265,0.23335,2,4,06,50000
-2.0,-0.0702,0.01248,2,4,06,100000
