beta1;beta2;beta_inf;firstdigit;seconddigit;pitch;sigma;AoA;Re;Cl;Cd
51.1;42.25823181;47.04226542;5;5;24.18558654;1.105051026;0.082482905;1632576.539;0.965733183;0.017338145
51.1;40.46919069;46.29431476;2;3;50.81441346;1.105051026;0.082482905;1632576.539;0.389705141;0.011450689
58.49999998;52.2644092;55.62845798;5;3;50.81441346;1.105051026;0.082482905;1632576.539;0.41637209;0.019226624
58.49999998;51.42993373;55.27683522;2;5;50.81441346;1.105051026;0.082482905;1632576.539;0.464399677;0.014290513
51.1;40.77243326;46.41967;5;5;50.81441346;1.105051026;0.082482905;1632576.539;0.381170764;0.011726723
65.90000001;67.28770863;66.61326778;2;3;24.18558654;0.394948974;11.9175171;1632576.539;-0.146148182;0.013219029
51.1;38.42167833;45.46204879;5;3;24.18558654;0.394948974;11.9175171;1632576.539;0.439101916;0.015999853
39.27;36.47920751;37.90104572;2;5;24.18558654;0.394948974;11.9175171;1632576.539;0.096900431;0.013645059
58.49999998;52.63947159;55.78873631;5;5;24.18558654;0.394948974;11.9175171;1632576.539;0.399063961;0.012843839
39.27;36.05355863;37.69663827;2;3;50.81441346;0.394948974;11.9175171;1632576.539;0.334066816;0.012014326
51.1;43.33720307;47.50360323;5;3;50.81441346;0.394948974;11.9175171;1632576.539;0.86756262;0.016354658
39.27;35.99179655;37.66706921;2;5;50.81441346;0.394948974;11.9175171;1632576.539;0.11177421;0.019345986
51.1;37.7770769;45.20484838;5;5;50.81441346;0.394948974;11.9175171;1632576.539;0.460554486;0.013690729
77.73000001;70.90891702;75.04431635;2;3;24.18558654;1.105051026;11.9175171;1632576.539;0.476614506;0.015258219
77.73000001;70.28337928;74.85318209;5;3;24.18558654;1.105051026;11.9175171;1632576.539;0.478840515;0.019541052
51.1;43.45173454;47.55305175;2;5;24.18558654;1.105051026;11.9175171;1632576.539;0.857201994;0.01580701
77.73000001;70.02017242;74.77484374;5;5;24.18558654;1.105051026;11.9175171;1632576.539;0.499032621;0.018094634
77.73000001;73.98985415;76.10237969;2;3;50.81441346;1.105051026;11.9175171;1632576.539;0.969230075;0.027027138
58.49999998;55.981955;57.28398786;5;3;50.81441346;1.105051026;11.9175171;1632576.539;0.962243832;0.019253751
77.73000001;73.82296498;76.03945437;2;5;50.81441346;1.105051026;11.9175171;1632576.539;1.013319031;0.024722754
81.00000001;77.36773586;79.48538198;5;5;50.81441346;1.105051026;11.9175171;1632576.539;0.594047587;0.013789925
36;28.40528106;32.3616101;1;4;37.5;0.75;6;1100000;0.377212332;0.013638726
77.73000001;74.2053508;76.18469919;6;4;37.5;0.75;6;1100000;0.979183375;0.01539483
65.90000001;65.10802491;65.51001909;4;2;37.5;0.75;6;1100000;0.025158994;0.014934703
39.27;39.45262705;39.3614329;4;6;37.5;0.75;6;1100000;-0.018490345;0.013358135
48.50000002;50.10252915;49.3142944;4;4;15;0.75;6;1100000;-0.136312283;0.014891957
65.90000001;67.3219648;66.63138298;4;4;60;0.75;6;1100000;-0.151203286;0.014583529
77.73000001;70.51231807;74.92231245;4;4;37.5;0.15;6;1100000;0.495636722;0.012801174
